position,company,location,flag
Data Analyst,Brady Corporation,"Ontario, CA",1
Data Analyst,City of Lincoln & Lancaster County,"Lincoln, NE",1
Data Analyst,Credit Sesame,"Mountain View, OR",1
Data Analyst,First American,"Santa Ana, CA",1
Data Analyst,FocusKPI Inc.,"San Francisco, CA",1
Data Analyst,Gimlet Media,"Brooklyn, NY",1
Data Analyst,Glu Mobile,"San Francisco, CA",1
Data Analyst,I2Usystems,"Philadelphia, PA",1
Data Analyst,Nurx,"San Francisco, CA",1
Data Analyst,IBM,"Columbia, MO",1
Data Analyst,Jam City,"San Francisco, CA",1
Data Analyst,Jet.com,"San Bruno, CA",1
Data Analyst,LendingTree,"Chicago, IL",1
Data Analyst,Make-A-Wish Foundation of America,"Phoenix, AZ",1
Data Analyst,Mediamorph,"New York, NY",1
Data Analyst,Mind Solutions LLC,"Sunnyvale, CA",1
Data Analyst,Mortgage Center,"Southfield, MI",1
"Business Mentor, MS Business Analytics - 2019-2020","University of California, Davis","San Francisco, CA",1
Business Intelligence Engineer,Twitch,"San Francisco, CA",1
Data Analyst I,Community Medical Centers Inc,"Stockton, CA",1
Business Intelligence Developer,Clif Bar,"Emeryville, CA",1
Analyst Data Analytics,Southwest Airlines,"Dallas, TX",1
"Analyst, Analytics and Information, San MateoÂ ",Xelay Acumen,"San Mateo, CA",1
"Analyst, Benchmarking - Visa Consulting & Analytics",Visa,"Foster City, CA",1
"Analyst, Data & Insights Group - International Analytics",The New York Times,"New York, NY",1
"Analyst, Data Analytics",WALGREENS,"Deerfield, IL",1
"Analyst, Data and Insights Group - Advertising",The New York Times,"New York, NY",1
"Analyst, Ethics & Compliance Data Analytics & Monitoring",BD,"San Diego, CA",1
"Analyst, People Analytics",Palo Alo Networks,"Santa Clara, CA",1
"Analyst, Research Analytics BI",Viacom,"New York, NY",1
"Analyst, Trust and Safety",Upwork,"San Francisco Bay Area, CA",1
Analyst: Consulting Practice,JLL,"San Francisco, CA",1
Analytics /Data /Research Analyst,PPG Marine,"Washington, DC",1
Analytics Analyst,Tracking Link Board,"Boston, MA",1
Analytics Consultant,159 Solutions,"San Francisco Bay Area, CA",1
Analytics Data Architect,Qlik,"Newton, MA",1
"Analytics Data Integration Developer, Sr.",MemorialCare Health Services,"Fountain Valley, CA",1
Analytics Director,M/H VCCP,"San Francisco, CA",1
Analytics Engineer,SoundHound Inc.,"Santa Clara, CA",1
Analytics Engineer / Data Engineer,Blue Cross Blue Shield of Michigan,"Detroit, MI",1
Analyst - Data Analytics,Technamo LLC,"Centreville, MD",1
Analyst - Amazon Analytics,Newell Brands,"Seattle, WA",1
American Express Campus â€“ 2020 Digital Analytics/Data Science Summer Internship,American Express,United States,1
Account Executive,Datacoral,"San Francisco, CA",1
2020 Information Technology - Advanced Data and Analytics Intern (2 Positions),Federal Reserve Bank of San Francisco,"San Francisco, CA",1
2020 Intern - Data Scientist,IBM,United States,1
2020 Summer Intern - Data Scientist/Data Analytics (.com Calif Temp Mgmt),Walmart,"Sunnyvale, CA",1
2020 University Intern - Data Scientist/Analytics,Phillips 66,"Houston, TX",1
"2VP, Data & Advanced Analytics Technology",Travelers,"Hartford, CT",1
"ANALYST, ANALYTICS",Ipsos North America,"Chicago, IL",1
AOI Programmer,Tempo Automation,"San Francisco, CA",1
"AVP, CareCredit Analytics - BD & Competitive Intelligence",Synchrony,"Costa Mesa, CA",1
Account Management IV,Kaiser Permanente,"Oakland, CA",1
"Algorithms Engineer (Data analytics, Python or R, Statistics, Data Structures)",KLA-Tencor,"Ann Arbor, MI",1
Acquisition Managment Professionals,"MSB Analytics, Inc.","Silver Spring, MD",1
"Actuarial Associate, Medi-care",Kaiser Permanente,"Oakland, CA",1
Administrative Support Coordinator I,California State University,"San Francisco Bay Area, CA",1
Adobe Analytics Consultant,Kaiser Permanente,"Pleasanton, CA",1
Advanced Analytics Associate (West),Komodo Health,"San Francisco, CA",1
Advanced Analytics Internship,Maxim Integrated,"San Jose, CA",1
Advanced Analytics Specialist 3,Sam's Club,"Sunnyvale, CA",1
Advanced Data Analytics Year-Round Intern,Federal Reserve Board of Governors,"Washington, DC",1
Analytics Implementations Engineer,Macy's,"San Francisco, CA",1
Analytics Lead,Affirm,"San Francisco, CA",1
Analytics Lead,"Phil, Inc.","San Francisco, CA",1
Business Analytics & Data Science Intern â€“ Summer 2020,University of Phoenix,"Phoenix, AZ",1
Big Data Analytics,MW-TechConsulting,United States,1
Big Data Architect,TEQNirvana LLC,"Boston, MA",1
Big Data Developer,Adwait,"San Francisco, CA",1
Big Data Developer - Data Analytics Team,Teamsoft Technologies,"San Francisco, CA",1
Big Data Engineer - Strategic Analytics,JnD Inc.,"Plano, TX",1
Brand Analytics Associate,Alyvant,"New York, NY",1
Brand Analytics Data Scientist,Alyvant,"New York, NY",1
"Business Analyst, Consultant",Blue Shield of California,"Oakland, CA",1
Business Analytics / Data Scientist,Zoetis,"Parsippany, NJ",1
Behavior Interventionist/Tutor,Analytical Behavior Consultants,"San Leandro, CA",1
Business Analytics Developer,University of California San Francisco,"San Francisco, CA",1
Business Data Analyst,Houston Dynamo/Dash/BBVA Stadium,"Houston, TX",1
Business Data Analyst,Restoration Hardware,"Tracy, CA",1
"Business Data Analyst, Internal Agency",DraftKings,"Boston, MA",1
Business Development Manager,"BayHealth, LLC","Emeryville, CA",1
Business Initiatives Analyst,Wells Fargo,"San Francisco, CA",1
Business Intelligence / Data Visualization Analyst,Apple,"Santa Clara Valley, CA",1
Business Intelligence Analyst - Data & Analytics,Tanner Health System,"Carrollton, GA",1
Big Data - Spark with Scala,Avani Technology Solutions Inc,"Portland, OR",1
Behavior Interventionist,Analytical Behavior Consultants,"Richmond, CA",1
Analytics Professional,Janover Ventures,"Miami Beach, FL",1
Associate Data Scientist I/II,"BioFire Diagnostics, LLC.","Salt Lake City, UT",1
Analytics Trainer,Jellyfish,"San Francisco, CA",1
Analytics and Data Science,Pournader & Company,United States,1
"Architect, Big Data Analytics",Fungible Inc.,"Santa Clara, CA",1
Associate - Data Science Reporting and Analytics,Morgan Stanley,"Purchase, NY",1
Associate Analytics Consultant,Tableau,"Seattle, WA",1
Associate Consultant,ZoomRx,"San Francisco, CA",1
Associate Data Analytics Specialist,PacificSource Health Plans,"Springfield, OR",1
Associate Data Scientist (Full Time Starting Summer 2020),EAB,"Washington, DC",1
"Associate Director, Data Science & Analytics",Publicis Sapient,"Atlanta, GA",1
BRM Director â€“ Data Analytics,Sony Pictures Entertainment Inc.,"Culver City, CA",1
"Associate Manager, Customer Experience Analytics",Walmart,"San Bruno, CA",1
Associate Media Director,Just Media,"Emeryville, CA",1
"Associate, Data Analytics",BKM Capital,"Newport Beach, CA",1
"Associate, Investment Analytics and Data",Dimensional Fund Advisors,"Austin, TX",1
Audience Data Analyst,Dow Jones,"New York, NY",1
Audit - Data Analytics Specialist - Associate,JPMorgan Chase,"Plano, TX",1
Azure Analytics Services Architect,Trianz,"San Francisco, CA",1
BI / Data Engineer,Neal Analytics,"Redmond, WA",1
Data Analyst I,Bio-Rad,"Hercules, CA",1
Data Analyst Intern,HP,"Palo Alto, CA",1
Developer III - Data Analytics,Inland Empire Health Plans,"Rancho Cucamonga, CA",1
Data Governance Analyst,University of California San Francisco Medical Cen...,"San Francisco, CA",1
Data Science and Analytics Leader,Netflix,"Los Gatos, CA",1
Data Scientist,Canopy Health,"Emeryville, CA",1
Data Scientist,Change Healthcare,"Emeryville, CA",1
Data Scientist,Clarivate Analytics,"San Francisco, CA",1
Data Scientist,Grand Rounds,"San Francisco, CA",1
Data Scientist,Karat,"Seattle, WA",1
Data Scientist,L.A. Care Health Plan,"Los Angeles, CA",1
Data Scientist,LeanTaaS,"Santa Clara, CA",1
Data Scientist,National Security Agency,"Fort Meade, MD",1
Data Scientist,Oracle,"Redwood City, CA",1
Data Scientist,Osmo,"Palo Alto, CA",1
Data Scientist,Predictive Partner LLC,"San Francisco Bay Area, CA",1
Data Scientist,Psyonix,"San Diego, CA",1
Data Scientist,RepairSmith,"Los Angeles, CA",1
Data Scientist,Scaleapi,"San Francisco, CA",1
Data Scientist,Sky RPO,"San Francisco, CA",1
Data Scientist,States Title Holding,"San Francisco, CA",1
Data Scientist,Teespring,"San Francisco, CA",1
Data Scientist,Virta Health,"San Francisco, CA",1
Data Science and Analytics,Capgemini,"New York, NY",1
"Data Science Manager, Analytics",Facebook,"Seattle, WA",1
Data Science Manager,Opinion Dynamics,"Oakland, CA",1
Data Operations Associate,EnerNOC,"Boston, MA",1
Data Intake Engineer,Clearwater Analytics,"Boise, ID",1
Data Integration Architect - GRM US,Liberty Mutual Insurance,"Dover, NH",1
Data Integrity Specialist,Novus Print Media,"Plymouth, MN",1
Data Intern,E source,"Boulder, CO",1
Data Intern,GreatSchools,"Oakland, CA",1
Data Lead,Acelero Learning,"Stanley, NC",1
Data Management Specialist : 19-04256,Akraya Inc.,"Pleasanton, CA",1
Data Operations Analyst,Addepar,"Salt Lake City, UT",1
Data Operations Engineer,FareHarbor,"Denver, CO",1
Data Science Manager,Good Money,"San Francisco, CA",1
Data Operations Specialist,Apartment List,"San Francisco, CA",1
Data Platform Manager,Uber,"San Francisco, CA",1
Data QA and Analytics Engineer,HealthVerity,"Philadelphia, PA",1
Data Quality Analyst,CenCal Health,"Santa Barbara, CA",1
Data Quality Control in AWS,"Blue Compass, LLC","Tysons Corner, VA",1
Data Science Intern,Cuker,"Carlsbad, CA",1
Data Science Intern,Interview Query,"San Francisco Bay Area, CA",1
Data Science Intern (Summer 2020),Mozilla,"San Francisco, CA",1
Data Scientist - Alexa Shopping,"Amazon.com Services, Inc.","Palo Alto, CA",1
Data Scientist - Batteries,Apple,"Santa Clara Valley, CA",1
Data Scientist - Chat Bot Focus,Predictive Partner LLC,"Seattle, WA",1
Data Visualization and Analytics Consultant,Slalom Consulting,"Los Angeles, CA",1
Data Steward - Data Management & Governance,Esri,"Redlands, CA",1
"Data Strategy Lead - Big Data, Cloud, Analytics",Accenture,"San Francisco, CA",1
Data Support Specialist,Laserfiche,"Long Beach, CA",1
Data Systems Specialist II,Travis Unified School District,"Fairfield, CA",1
Data Visualization Analyst,Government of the District of Columbia,"Washington, DC",1
"Data Visualization Analyst, People Analytics",Facebook,"New York, NY",1
Data Visualization Developer I,"Corporate - Medford, OR","Medford, OR",1
Data Visualization and Analytics,Allscripts,United States,1
"Data Warehouse Analyst, Reconciliation",Square,"San Francisco, CA",1
Data Services ETL Developer,"California State University, Monterey Bay","Monterey Bay, CA",1
Data and Analytics Engineer,Robert W. Baird,"Milwaukee, WI",1
Data and Analytics Manager,Toyota Material Handling U.S.A.,"Columbus, IN",1
Data and Analytics Specialist,Southwest Key Programs,"Phoenix, AZ",1
"Data and Systems Architect, Finance, Systems and Integrations",Google,"Sunnyvale, CA",1
Data warehouse BI Developer,IDC,"San Francisco, CA",1
Data/Business Intelligence/Analytics Project Manager,Redapt,"Bellevue, WA",1
"Data/Database Engineer, Analytics","Amazon.com Services, Inc.","Seattle, WA",1
Data/NLP Scientist,AnswerIQ,"Bellevue, WA",1
Data Steward,"StoneLaurel Consulting, Inc.","Durham, NC",1
"Data Scientist, Zillow Offers",Zillow Group,"Seattle, WA",1
Data Scientist - Customer Analytics,Walmart eCommerce,"San Bruno, CA",1
"Data Scientist, Analytics - Family Ecosystem",Facebook,"Menlo Park, CA",1
Data Scientist - Grid Analytics,Sentient Energy Inc.,"Burlingame, CA",1
Data Scientist - Strategic Partnerships,King,"San Francisco, CA",1
Data Scientist Intern - Pricing Strategy and Analytics,HP,"San Diego, CA",1
"Data Scientist, Analyst",SoFi,"San Francisco, CA",1
"Data Scientist, Analytics",Calm,"San Francisco, CA",1
"Data Scientist, Analytics",NEXT Trucking,"Los Angeles, CA",1
"Data Scientist, Analytics (PhD)",Facebook,"New York, NY",1
"Data Scientist, Analytics (University Grad)",Facebook,"New York, NY",1
"Data Scientist, Analytics - Messenger Growth",Facebook,"Menlo Park, CA",1
"Data Scientist, Product Analytics",eBay Inc.,"San Francisco, CA",1
"Data Scientist, Analytics, Intern",Facebook,"New York, NY",1
"Data Scientist, Basketball Integrity",the NBA,"New York, NY",1
"Data Scientist, Data & Analytics",Slalom Consulting,"Charlotte, NC",1
"Data Scientist, Insights & Analytics",Spotify,"New York, NY",1
"Data Scientist, Junior",Booz Allen Hamilton,"San Diego, CA",1
"Data Scientist, Music Analytics",Spotify,"New York, NY",1
"Data Scientist, People Analytics",Genentech,"South San Francisco, CA",1
"Data Scientist, Product Analytics",StubHub,"San Francisco, CA",1
Data Infrastructure Engineer (Siri Experimentation Platform),Apple,"Santa Clara Valley, CA",1
Data Entry Processor,Conduent,"Concord, NH",1
Data Analyst Intern,Paypal,"San Jose, CA",1
Data Entry,Paysafe Group,"Irvine, CA",1
Data Analytics Business Intelligence Manager,Omni Family Health,"Shafter, CA",1
Data Analytics Consultant,Accenture,"San Jose, CA",1
Data Analytics Consultant,Deloitte,"Arlington, VA",1
Data Analytics Consultant,Reveille Group,"Washington, DC",1
Data Analytics Consultant,VISIMO,"Pittsburgh, PA",1
Data Analytics Consultant (Graduating Dec 2019 - May 2020),CapTech Consulting,"Richmond, VA",1
Data Analytics Consulting,West Advanced Technologies (WATI),"Sacramento, CA",1
Data Analytics Course Mentor,Thinkful,Remote,1
Data Analytics Developer,KaiHonua LLC,"Rock Island, IL",1
Data Analytics Engineer,Bonobos,"New York, NY",1
Data Analytics Engineer,GoPro,"San Mateo, CA",1
Data Analytics Engineer,"Harbor Freight Tools USA, Inc.","Calabasas, CA",1
Data Analytics Engineer (Entry-Level),Allstate,"Chandler, AZ",1
"Data Analytics Engineer, Content Analytics",Spotify,"New York, NY",1
Data Analytics Engineer- Graph Experience (Neo4J or Neptune),Spotline Inc,"San Francisco, CA",1
Data Analytics Engineering Intern - Spring 2020- 90259763 - Philadelphia,Amtrak,"Philadelphia, PA",1
Data Analytics Intern,Fractal Analytics Inc.,"Chicago, IL",1
Data Analytics Intern (Spring 2020),Imperial Supplies,"Green Bay, WI",1
"Data Analytics Liaison - SQL, SAS - Livonia - 40 hrs/wk",Saint Joseph Mercy Health System,"Ann Arbor, MI",1
Data Analytics Associate,Imaging Endpoints,"Scottsdale, AZ",1
Data Analytics Architect - Junior,CACI,"Washington, DC",1
Data Analytics Analysts,ICC Logistics Services,"Hicksville, NY",1
"Data Analyst, Sales Business Partner",LiveVox,Remote,1
Data Analyst Internship (SF),Protagonist,"San Francisco, CA",1
Data Analyst Specialist-Medical Staff (FT-Days) Consolidated,Valley Health System Consolidated Services,"Las Vegas, NV",1
Data Analyst for Business Intelligence Department,VS Media,"Westlake Village, CA",1
"Data Analyst, Alliances Team",Twitch,"San Francisco, CA",1
"Data Analyst, Alliances Team","Twitch Interactive, Inc.","San Francisco, CA",1
"Data Analyst, Analytics",MedExpress Urgent Care,"Canonsburg, PA",1
"Data Analyst, Growth",VSCO,"Oakland, CA",1
"Data Analyst, Innovation Analytics",Aaron's,"Atlanta, GA",1
"Data Analyst, Search Analytics",Google,"San Francisco, CA",1
Data Analytics Analyst,Inmar,"Rogers, AR",1
"Data Analyst, Senior - People Analytics Team",Qualcomm,"San Diego, CA",1
"Data Analyst, Supply Chain Analytics",Wayfair,"Boston, MA",1
Data Analyst/Data Scientist (2020 Start) - Analytics - Multioffice,Charles River Associates,"New York, NY",1
Data Analytics & Automation Associate,BDO,"Chicago, IL",1
Data Analytics & Dashboard Visualization Specialist - Experienced Associate,Guidehouse,"McLean, VA",1
Data Analytics & Engineering Lead,Whistle,"San Francisco, CA",1
Data Analytics & Modeling Practitioner,Clarus Group,"Washington, DC",1
Data Analytics & Visualization Specialist,Integrated Financial,"McLean, VA",1
Data Analytics Manager,Beacon Funding,"Northbrook, IL",1
Data Analytics Manager,State of Illinois,"Cook County, IL",1
Data Analytics Manager,University of California San Francisco,"San Francisco, CA",1
Data Engineer,YourMechanic,"Mountain View, CA",1
Data Engineer,"Edwards Vacuum, LLC","Hillsboro, OR",1
Data Engineer,Flow Labs,"Oakland, CA",1
Data Engineer,Hinge Health,"San Francisco, CA",1
Data Engineer,NICE Mattersight,"Austin, TX",1
Data Engineer,Pacific Data Integrators,"San Francisco, CA",1
Data Engineer,Scoop Technologies,"San Francisco, CA",1
Data Engineer,Spotline Inc,"San Mateo, CA",1
Data Engineer,Trianz,"San Francisco, CA",1
"Data Engineer (SQL, Python)",Trianz,"San Francisco, CA",1
Data Engineer,"Amazon.com Services, Inc.","Seattle, WA",1
"Data Engineer (multiple roles, levels)",Data+Math,"Boston, MA",1
Data Engineer - Analyst (Corporate Office) - Alameda,Telecare Corporation,"Alameda, CA",1
Data Engineer - Retail Business Intelligence,Apple,"Santa Clara Valley, CA",1
Data Engineer Bachelor's (Intern) - United States,Cisco Careers,"San Jose, CA",1
"Data Engineer, Infra Product Analytics",Facebook,"Menlo Park, CA",1
"Data Engineer, Ingestion - Spatial and People Analytics",WeWork,"Palo Alto, CA",1
"Data Engineer, Product Analytics",Brain Corp,"San Diego, CA",1
"Data Engineering/Analytics Grad Intern, Int'l Labor Standards Sp'20",The Walt Disney Company (Corporate),"Glendale, CA",1
Data Engineer,Columbia Sportswear Company,"Portland, OR",1
Data Consultant-Marketing,Kaiser Permanente,"Burbank, CA",1
Data Analytics Manager,"Wheels Labs, Inc.","West Hollywood, CA",1
Data Analytics and Marketing Operations Intern,Synopsys,"Boston, MA",1
Data Analytics Specialist,Screen Actors Guild- Producers Pension & Health Pl...,"Burbank, CA",1
Data Analytics Specialist,Signet Jewelers,"Akron, OH",1
Data Analytics Specialist,Tierra Resource Consultants,"Walnut Creek, CA",1
"Data Analytics Specialist - St. Peter's Hospital, Albany, NY - Full Time Days",St. Peter's Health Partners,"Albany, NY",1
Data Analytics Strategy & Operations Associate,access2insight,"Chicago, IL",1
Data Analytics Teaching Assistant - University of Oregon,Trilogy Ed,"Portland, OR",1
Data Analytics Team Lead,LaunchDarkly,"Oakland, CA",1
Data Analytics and Governance Intern,Blue Cross and Blue Shield of Nebraska (BCBSNE),"Omaha, NE",1
"Data Analytics and Research Consultant, Medicare Stars",Kaiser Permanente,"Burbank, CA",1
"Data Consultant - SAS, R, Epidemiology, Bio-statistics",Kaiser Permanente,"Oakland, CA",1
Data Analytics â€“ Associate,Forensic Risk Alliance,"New York, NY",1
Data Architect,BayInfotech,"Oakland, CA",1
Data Architect - Min Analytics,OSF Healthcare,"Peoria, IL",1
"Data Architect, Data and Analytics",Business & Decision,"San Francisco Bay Area, CA",1
Data Associate,USAC,"Washington, DC",1
Data Base and Marketing Analytics Intern,Tractor Supply Company,"Brentwood, TN",1
Data Consultant,Kaiser Permanente,"Oakland, CA",1
"Data Consultant - Epidemiology, Bio-statistics, SAS, SQL, R",Kaiser Permanente,"Oakland, CA",1
Data Scientist - Intern,Zillow,"Seattle, WA",1